Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
2019-02-21 23:45:30.000,0.113,0.309,0.938
2019-02-21 23:45:30.013,0.129,0.309,0.934
2019-02-21 23:45:30.025,0.125,0.309,0.926
2019-02-21 23:45:30.038,0.129,0.316,0.926
2019-02-21 23:45:30.050,0.125,0.316,0.926
2019-02-21 23:45:30.063,0.129,0.316,0.934
2019-02-21 23:45:30.075,0.129,0.316,0.934
2019-02-21 23:45:30.088,0.121,0.313,0.938
2019-02-21 23:45:30.100,0.125,0.309,0.941
2019-02-21 23:45:30.113,0.129,0.305,0.938
2019-02-21 23:45:30.125,0.129,0.309,0.934
2019-02-21 23:45:30.138,0.133,0.309,0.934
2019-02-21 23:45:30.150,0.129,0.309,0.938
2019-02-21 23:45:30.163,0.125,0.313,0.930
2019-02-21 23:45:30.175,0.129,0.313,0.930
2019-02-21 23:45:30.188,0.129,0.309,0.930
2019-02-21 23:45:30.200,0.125,0.309,0.934
2019-02-21 23:45:30.213,0.125,0.305,0.941
2019-02-21 23:45:30.225,0.129,0.309,0.941
2019-02-21 23:45:30.238,0.129,0.309,0.938
2019-02-21 23:45:30.250,0.129,0.309,0.941
2019-02-21 23:45:30.263,0.129,0.309,0.938
2019-02-21 23:45:30.275,0.125,0.309,0.930
2019-02-21 23:45:30.288,0.125,0.309,0.930
2019-02-21 23:45:30.300,0.125,0.309,0.934
2019-02-21 23:45:30.313,0.125,0.309,0.934
2019-02-21 23:45:30.325,0.129,0.309,0.934
2019-02-21 23:45:30.338,0.133,0.309,0.934
2019-02-21 23:45:30.350,0.129,0.309,0.930
2019-02-21 23:45:30.363,0.129,0.309,0.934
2019-02-21 23:45:30.375,0.133,0.309,0.938
2019-02-21 23:45:30.388,0.133,0.309,0.938
2019-02-21 23:45:30.400,0.133,0.309,0.938
2019-02-21 23:45:30.413,0.133,0.305,0.934
2019-02-21 23:45:30.425,0.129,0.305,0.938
2019-02-21 23:45:30.438,0.129,0.305,0.938
2019-02-21 23:45:30.450,0.129,0.301,0.938
2019-02-21 23:45:30.463,0.129,0.305,0.938
2019-02-21 23:45:30.475,0.129,0.305,0.938
2019-02-21 23:45:30.488,0.129,0.305,0.938
2019-02-21 23:45:30.500,0.121,0.309,0.938
2019-02-21 23:45:30.513,0.129,0.309,0.941
2019-02-21 23:45:30.525,0.133,0.313,0.930
2019-02-21 23:45:30.538,0.133,0.313,0.930
2019-02-21 23:45:30.550,0.129,0.313,0.934
2019-02-21 23:45:30.563,0.129,0.309,0.930
2019-02-21 23:45:30.575,0.129,0.309,0.930
2019-02-21 23:45:30.588,0.121,0.305,0.930
2019-02-21 23:45:30.600,0.129,0.301,0.934
2019-02-21 23:45:30.613,0.137,0.305,0.938
2019-02-21 23:45:30.625,0.137,0.305,0.938
2019-02-21 23:45:30.638,0.133,0.305,0.938
